rank,name,points,players
#107,Young Ninjas,5,"['BluePho3nix', 'MisteM', 'rud', 'jocab', 'MahaR']"
#108,Housebets,5,"['apocdud', 'yourwombat', 'pz', 'damyo']"
#109,Immigrants peek,5,"['Termina', 'H0NeST', 'nico1ajus', 'bezymecc', 'marekiew']"
#110,Flamengo,5,"['danoco', 'vsm', 'CutzMeretz', 'Misfit']"
#111,MIGHT,5,"['djay', 'Voltage', 'Snakes', 'Louie', 'jared']"
#112,Rebels,5,"['innocent', 'Sobol', 'tomiko', 'flayy', 'kisserek']"
#113,GenOne,5,"['JACKZ', 'devoduvek', 'drac', 'Kursy', 'Brooxsy']"
#114,FAVBET,5,"['bondik', 'Smash', 'Marix', 'j3kie', 't3ns1on']"
#115,Daaku,5,"['magi', 'nomizz', 'Weeza', 'rain']"
#116,Mindfreak,5,"['tucks', 'Texta', 'Crunchy', 'pain']"
#117,GhoulsW,5,"['SBT', 'manguss', 'fino', 'ex1st', 'sk1tt']"
#118,Kubix,5,"['gejmzilla', 'BledarD', 'Caleyy', 'ammar', 'tripey']"
#119,2GAME,5,"['PKL', 'hardzao', 'detr0ittJ', 'xureba', 'lukiz']"
#120,Take Flyte,4,"['Sharpie', 'REKMEISTER', 'Panic', 'Crisp', 'huncho']"
#121,NinJa,4,"['SPine', 'rage', 'Risk', 'Miami', 'expSasiKi']"
#122,benched,4,"['FinigaN', 'Pipw', 'malinov', 'z1k4', 'wh1teout']"
#123,KRÜ,4,"['reversive', 'laser', 'atarax1a', 'honda', 'righi']"
#124,LFO 2,4,"['SALO_MUX', 'weqt2', 'mediocrity', 'Reminder', 'CziTeX']"
#125,Chimera,4,"['sh1nejezzz', 'm1QUSE', 'VILBy', 'bluewh1te', 'z3ndeR']"
#126,Astralis Talent,4,"['kiR', 'kroK', 'Zanto', 'ANSG1', 'suma']"
#127,Hesta,4,"['abiraju', 'anttzz', 'Muk0s', 'frontales', 'slaxejezzz']"
#128,NITRO,4,"['zmb', 'realz1n', 'Leomonster', 'bsd', 'happ']"
#129,SABRE,4,"['neiter', 'svemyy', 'fakerealityy', 'hodix', 'jackast']"
#130,Dusty Roots,4,"['1962', 'tom1jed', 'maxxkor', 'FraGuTy']"
#131,GATERON,4,"['Kon', 'DimSuM', 'zyHan', 'Pupu', 'Owbb']"
#132,EYEBALLERS,4,"['JW', 'HEAP', 'delle', 'dex', 'poiii']"
